,temperature,summary,windSpeed,visibility,apparentTemperature
2017-06-27 00:00:00-07:00,60.06,Mostly Cloudy,5.57,10.0,60.06
2017-06-27 01:00:00-07:00,59.5,Mostly Cloudy,5.2,10.0,59.5
2017-06-27 02:00:00-07:00,58.94,Overcast,5.53,10.0,58.94
2017-06-27 03:00:00-07:00,58.41,Overcast,5.54,9.15,58.41
2017-06-27 04:00:00-07:00,58.13,Overcast,5.04,10.0,58.13
2017-06-27 05:00:00-07:00,57.75,Overcast,5.7,9.6,57.75
2017-06-27 06:00:00-07:00,57.72,Overcast,5.21,9.11,57.72
2017-06-27 07:00:00-07:00,57.82,Overcast,4.8,7.24,57.82
2017-06-27 08:00:00-07:00,58.42,Overcast,4.74,8.15,58.42
2017-06-27 09:00:00-07:00,59.88,Overcast,4.03,9.17,59.88
2017-06-27 10:00:00-07:00,61.58,Mostly Cloudy,4.23,10.0,61.58
2017-06-27 11:00:00-07:00,63.01,Mostly Cloudy,4.66,10.0,63.01
2017-06-27 12:00:00-07:00,64.37,Mostly Cloudy,4.35,10.0,64.37
2017-06-27 13:00:00-07:00,66.0,Mostly Cloudy,5.31,10.0,66.0
2017-06-27 14:00:00-07:00,67.12,Partly Cloudy,6.7,10.0,67.12
2017-06-27 15:00:00-07:00,67.03,Partly Cloudy,7.38,10.0,67.03
2017-06-27 16:00:00-07:00,66.85,Partly Cloudy,7.77,10.0,66.85
2017-06-27 17:00:00-07:00,66.11,Partly Cloudy,7.2,10.0,66.11
2017-06-27 18:00:00-07:00,64.88,Mostly Cloudy,7.35,10.0,64.88
2017-06-27 19:00:00-07:00,62.99,Mostly Cloudy,7.07,10.0,62.99
2017-06-27 20:00:00-07:00,60.51,Mostly Cloudy,7.2,10.0,60.51
2017-06-27 21:00:00-07:00,58.82,Mostly Cloudy,7.07,10.0,58.82
2017-06-27 22:00:00-07:00,58.14,Mostly Cloudy,5.91,10.0,58.14
2017-06-27 23:00:00-07:00,57.55,Mostly Cloudy,5.78,10.0,57.55
2017-06-28 00:00:00-07:00,57.15,Mostly Cloudy,5.57,10.0,57.15
2017-06-28 01:00:00-07:00,56.84,Mostly Cloudy,5.45,10.0,56.84
2017-06-28 02:00:00-07:00,56.42,Overcast,5.06,10.0,56.42
2017-06-28 03:00:00-07:00,56.04,Mostly Cloudy,4.88,9.96,56.04
2017-06-28 04:00:00-07:00,55.74,Mostly Cloudy,4.88,9.96,55.74
2017-06-28 05:00:00-07:00,55.59,Mostly Cloudy,4.89,9.96,55.59
2017-06-28 06:00:00-07:00,55.57,Overcast,4.56,9.17,55.57
2017-06-28 07:00:00-07:00,55.87,Overcast,5.31,8.96,55.87
2017-06-28 08:00:00-07:00,56.99,Mostly Cloudy,4.62,8.65,56.99
2017-06-28 09:00:00-07:00,58.14,Mostly Cloudy,5.01,9.19,58.14
2017-06-28 10:00:00-07:00,59.27,Mostly Cloudy,4.61,10.0,59.27
2017-06-28 11:00:00-07:00,60.55,Mostly Cloudy,5.34,9.62,60.55
2017-06-28 12:00:00-07:00,61.98,Partly Cloudy,4.82,10.0,61.98
2017-06-28 13:00:00-07:00,64.43,Partly Cloudy,4.5,9.62,64.43
2017-06-28 14:00:00-07:00,65.33,Clear,5.4,10.0,65.33
2017-06-28 15:00:00-07:00,65.85,Clear,5.19,10.0,65.85
2017-06-28 16:00:00-07:00,65.49,Clear,5.71,10.0,65.49
2017-06-28 17:00:00-07:00,65.67,Clear,6.16,10.0,65.67
2017-06-28 18:00:00-07:00,65.03,Clear,5.89,10.0,65.03
2017-06-28 19:00:00-07:00,63.64,Clear,5.55,9.67,63.64
2017-06-28 20:00:00-07:00,61.58,Clear,5.41,9.25,61.58
2017-06-28 21:00:00-07:00,59.02,Partly Cloudy,5.15,9.38,59.02
2017-06-28 22:00:00-07:00,57.78,Mostly Cloudy,5.38,10.0,57.78
2017-06-28 23:00:00-07:00,57.21,Mostly Cloudy,4.46,9.7,57.21
2017-06-29 00:00:00-07:00,56.67,Mostly Cloudy,4.36,9.08,56.67
2017-06-29 01:00:00-07:00,56.06,Mostly Cloudy,4.07,9.17,56.06
2017-06-29 02:00:00-07:00,55.7,Mostly Cloudy,4.3,8.91,55.7
2017-06-29 03:00:00-07:00,55.48,Mostly Cloudy,4.31,9.02,55.48
2017-06-29 04:00:00-07:00,55.3,Mostly Cloudy,4.32,9.08,55.3
2017-06-29 05:00:00-07:00,55.01,Mostly Cloudy,4.5,8.61,55.01
2017-06-29 06:00:00-07:00,54.86,Mostly Cloudy,4.05,8.39,54.86
2017-06-29 07:00:00-07:00,55.16,Mostly Cloudy,4.31,8.64,55.16
2017-06-29 08:00:00-07:00,55.94,Mostly Cloudy,4.58,8.46,55.94
2017-06-29 09:00:00-07:00,57.13,Mostly Cloudy,4.5,9.1,57.13
2017-06-29 10:00:00-07:00,58.83,Mostly Cloudy,4.45,9.69,58.83
2017-06-29 11:00:00-07:00,60.81,Partly Cloudy,4.46,9.89,60.81
2017-06-29 12:00:00-07:00,63.17,Clear,4.43,9.96,63.17
2017-06-29 13:00:00-07:00,64.94,Clear,5.24,10.0,64.94
2017-06-29 14:00:00-07:00,65.58,Clear,5.48,10.0,65.58
2017-06-29 15:00:00-07:00,66.65,Clear,6.22,10.0,66.65
2017-06-29 16:00:00-07:00,67.64,Clear,7.01,10.0,67.64
2017-06-29 17:00:00-07:00,66.54,Clear,6.34,10.0,66.54
2017-06-29 18:00:00-07:00,64.65,Partly Cloudy,6.19,9.01,64.65
2017-06-29 19:00:00-07:00,62.62,Partly Cloudy,5.7,8.91,62.62
2017-06-29 20:00:00-07:00,59.76,Mostly Cloudy,5.74,8.98,59.76
2017-06-29 21:00:00-07:00,57.65,Mostly Cloudy,5.31,9.69,57.65
2017-06-29 22:00:00-07:00,56.67,Mostly Cloudy,5.01,9.68,56.67
2017-06-29 23:00:00-07:00,56.03,Mostly Cloudy,5.09,9.38,56.03
2017-06-30 00:00:00-07:00,55.74,Mostly Cloudy,5.13,9.93,55.74
2017-06-30 01:00:00-07:00,55.08,Mostly Cloudy,4.34,9.55,55.08
2017-06-30 02:00:00-07:00,54.66,Mostly Cloudy,5.1,9.66,54.66
2017-06-30 03:00:00-07:00,54.22,Mostly Cloudy,4.69,9.24,54.22
2017-06-30 04:00:00-07:00,53.85,Mostly Cloudy,4.82,9.79,53.85
2017-06-30 05:00:00-07:00,53.56,Mostly Cloudy,4.5,9.73,53.56
2017-06-30 06:00:00-07:00,53.32,Mostly Cloudy,4.29,9.96,53.32
2017-06-30 07:00:00-07:00,53.58,Mostly Cloudy,4.06,9.92,53.58
2017-06-30 08:00:00-07:00,54.38,Mostly Cloudy,4.26,9.92,54.38
2017-06-30 09:00:00-07:00,55.59,Mostly Cloudy,4.6,10.0,55.59
2017-06-30 10:00:00-07:00,57.43,Mostly Cloudy,4.88,10.0,57.43
2017-06-30 11:00:00-07:00,59.47,Mostly Cloudy,5.51,10.0,59.47
2017-06-30 12:00:00-07:00,61.41,Partly Cloudy,4.8,10.0,61.41
2017-06-30 13:00:00-07:00,63.61,Partly Cloudy,5.75,9.95,63.61
2017-06-30 14:00:00-07:00,64.83,Partly Cloudy,6.26,10.0,64.83
2017-06-30 15:00:00-07:00,66.22,Partly Cloudy,5.9,10.0,66.22
2017-06-30 16:00:00-07:00,67.88,Clear,5.91,10.0,67.88
2017-06-30 17:00:00-07:00,67.4,Clear,6.31,10.0,67.4
2017-06-30 18:00:00-07:00,65.58,Clear,6.47,10.0,65.58
2017-06-30 19:00:00-07:00,63.09,Clear,5.62,9.94,63.09
2017-06-30 20:00:00-07:00,60.74,Partly Cloudy,5.07,10.0,60.74
2017-06-30 21:00:00-07:00,58.39,Partly Cloudy,4.96,10.0,58.39
2017-06-30 22:00:00-07:00,57.29,Mostly Cloudy,4.4,10.0,57.29
2017-06-30 23:00:00-07:00,56.19,Mostly Cloudy,4.91,10.0,56.19
2017-07-01 00:00:00-07:00,55.56,Mostly Cloudy,5.34,10.0,55.56
2017-07-01 01:00:00-07:00,55.08,Partly Cloudy,5.15,10.0,55.08
2017-07-01 02:00:00-07:00,54.65,Mostly Cloudy,4.59,9.59,54.65
2017-07-01 03:00:00-07:00,54.54,Overcast,5.0,9.95,54.54
2017-07-01 04:00:00-07:00,54.22,Mostly Cloudy,4.87,9.89,54.22
2017-07-01 05:00:00-07:00,54.01,Overcast,4.86,10.0,54.01
2017-07-01 06:00:00-07:00,53.73,Mostly Cloudy,4.74,10.0,53.73
2017-07-01 07:00:00-07:00,53.93,Mostly Cloudy,4.77,9.86,53.93
2017-07-01 08:00:00-07:00,55.03,Mostly Cloudy,4.15,9.26,55.03
2017-07-01 09:00:00-07:00,56.53,Mostly Cloudy,3.64,10.0,56.53
2017-07-01 10:00:00-07:00,58.64,Mostly Cloudy,4.12,10.0,58.64
2017-07-01 11:00:00-07:00,60.65,Mostly Cloudy,4.58,10.0,60.65
2017-07-01 12:00:00-07:00,62.78,Partly Cloudy,4.18,10.0,62.78
2017-07-01 13:00:00-07:00,64.55,Partly Cloudy,4.61,10.0,64.55
2017-07-01 14:00:00-07:00,66.33,Clear,5.2,10.0,66.33
2017-07-01 15:00:00-07:00,66.73,Clear,6.3,10.0,66.73
2017-07-01 16:00:00-07:00,68.2,Clear,5.3,10.0,68.2
2017-07-01 17:00:00-07:00,67.24,Clear,5.8,10.0,67.24
2017-07-01 18:00:00-07:00,65.53,Clear,5.86,10.0,65.53
2017-07-01 19:00:00-07:00,63.55,Clear,5.67,10.0,63.55
2017-07-01 20:00:00-07:00,60.45,Clear,5.72,9.71,60.45
2017-07-01 21:00:00-07:00,57.95,Clear,4.97,9.52,57.95
2017-07-01 22:00:00-07:00,56.96,Clear,5.53,9.94,56.96
2017-07-01 23:00:00-07:00,56.41,Clear,5.6,9.7,56.41
2017-07-02 00:00:00-07:00,55.78,Clear,5.93,9.53,55.78
2017-07-02 01:00:00-07:00,55.19,Partly Cloudy,5.38,9.82,55.19
2017-07-02 02:00:00-07:00,54.71,Partly Cloudy,5.08,10.0,54.71
2017-07-02 03:00:00-07:00,54.38,Mostly Cloudy,4.64,10.0,54.38
2017-07-02 04:00:00-07:00,54.33,Mostly Cloudy,3.83,10.0,54.33
2017-07-02 05:00:00-07:00,54.19,Partly Cloudy,3.89,10.0,54.19
2017-07-02 06:00:00-07:00,54.15,Partly Cloudy,4.47,10.0,54.15
2017-07-02 07:00:00-07:00,54.73,Partly Cloudy,3.69,10.0,54.73
2017-07-02 08:00:00-07:00,56.47,Partly Cloudy,3.64,10.0,56.47
2017-07-02 09:00:00-07:00,58.77,Partly Cloudy,4.14,10.0,58.77
2017-07-02 10:00:00-07:00,61.56,Partly Cloudy,3.64,10.0,61.56
2017-07-02 11:00:00-07:00,63.66,Clear,3.8,10.0,63.66
2017-07-02 12:00:00-07:00,65.91,Clear,4.47,10.0,65.91
2017-07-02 13:00:00-07:00,66.48,Clear,6.23,10.0,66.48
2017-07-02 14:00:00-07:00,66.78,Clear,6.43,10.0,66.78
2017-07-02 15:00:00-07:00,65.97,Clear,7.55,10.0,65.97
2017-07-02 16:00:00-07:00,65.98,Clear,7.19,10.0,65.98
2017-07-02 17:00:00-07:00,65.7,Clear,6.91,10.0,65.7
2017-07-02 18:00:00-07:00,63.94,Clear,6.67,10.0,63.94
2017-07-02 19:00:00-07:00,61.56,Clear,6.76,10.0,61.56
2017-07-02 20:00:00-07:00,59.24,Clear,5.93,10.0,59.24
2017-07-02 21:00:00-07:00,58.0,Clear,5.72,10.0,58.0
2017-07-02 22:00:00-07:00,56.97,Clear,5.13,10.0,56.97
2017-07-02 23:00:00-07:00,56.43,Clear,4.98,10.0,56.43
2017-07-03 00:00:00-07:00,55.97,Clear,4.32,10.0,55.97
2017-07-03 01:00:00-07:00,55.62,Clear,4.17,10.0,55.62
2017-07-03 02:00:00-07:00,55.16,Partly Cloudy,4.12,10.0,55.16
2017-07-03 03:00:00-07:00,54.95,Mostly Cloudy,4.06,10.0,54.95
2017-07-03 04:00:00-07:00,54.66,Partly Cloudy,3.97,10.0,54.66
2017-07-03 05:00:00-07:00,54.76,Overcast,3.21,10.0,54.76
2017-07-03 06:00:00-07:00,54.8,Overcast,3.12,10.0,54.8
2017-07-03 07:00:00-07:00,55.16,Overcast,3.13,9.79,55.16
2017-07-03 08:00:00-07:00,56.3,Mostly Cloudy,3.34,9.95,56.3
2017-07-03 09:00:00-07:00,58.01,Mostly Cloudy,3.37,10.0,58.01
2017-07-03 10:00:00-07:00,60.75,Mostly Cloudy,2.69,10.0,60.75
2017-07-03 11:00:00-07:00,63.8,Clear,2.96,10.0,63.8
2017-07-03 12:00:00-07:00,66.43,Clear,3.84,10.0,66.43
2017-07-03 13:00:00-07:00,68.5,Clear,4.18,10.0,68.5
2017-07-03 14:00:00-07:00,68.63,Clear,5.44,10.0,68.63
2017-07-03 15:00:00-07:00,69.25,Clear,5.88,10.0,69.25
2017-07-03 16:00:00-07:00,68.91,Clear,5.22,10.0,68.91
2017-07-03 17:00:00-07:00,67.08,Clear,5.95,10.0,67.08
2017-07-03 18:00:00-07:00,65.03,Clear,5.91,10.0,65.03
2017-07-03 19:00:00-07:00,63.12,Clear,5.11,10.0,63.12
2017-07-03 20:00:00-07:00,60.56,Clear,4.29,10.0,60.56
2017-07-03 21:00:00-07:00,58.66,Clear,3.37,10.0,58.66
2017-07-03 22:00:00-07:00,57.73,Clear,3.98,10.0,57.73
2017-07-03 23:00:00-07:00,56.95,Clear,3.62,10.0,56.95
2017-07-04 00:00:00-07:00,56.54,Partly Cloudy,2.9,10.0,56.54
2017-07-04 01:00:00-07:00,56.32,Partly Cloudy,2.08,10.0,56.32
2017-07-04 02:00:00-07:00,56.12,Mostly Cloudy,2.36,10.0,56.12
2017-07-04 03:00:00-07:00,56.05,Mostly Cloudy,2.56,9.95,56.05
2017-07-04 04:00:00-07:00,55.89,Overcast,3.06,9.8,55.89
2017-07-04 05:00:00-07:00,55.49,Overcast,3.27,10.0,55.49
2017-07-04 06:00:00-07:00,55.42,Overcast,2.78,9.79,55.42
2017-07-04 07:00:00-07:00,55.77,Overcast,2.94,9.76,55.77
2017-07-04 08:00:00-07:00,56.55,Overcast,3.25,9.85,56.55
2017-07-04 09:00:00-07:00,58.14,Overcast,3.75,9.89,58.14
2017-07-04 10:00:00-07:00,60.14,Mostly Cloudy,3.63,10.0,60.14
2017-07-04 11:00:00-07:00,62.87,Clear,3.54,10.0,62.87
2017-07-04 12:00:00-07:00,65.59,Clear,3.75,10.0,65.59
2017-07-04 13:00:00-07:00,67.75,Clear,3.67,10.0,67.75
2017-07-04 14:00:00-07:00,69.02,Clear,3.81,10.0,69.02
2017-07-04 15:00:00-07:00,69.62,Clear,4.52,10.0,69.62
2017-07-04 16:00:00-07:00,68.06,Clear,6.55,10.0,68.06
2017-07-04 17:00:00-07:00,67.73,Clear,5.69,10.0,67.73
2017-07-04 18:00:00-07:00,66.39,Clear,6.2,10.0,66.39
2017-07-04 19:00:00-07:00,64.51,Clear,5.41,10.0,64.51
2017-07-04 20:00:00-07:00,62.04,Clear,4.92,10.0,62.04
2017-07-04 21:00:00-07:00,59.68,Clear,3.95,10.0,59.68
2017-07-04 22:00:00-07:00,58.21,Clear,3.47,10.0,58.21
2017-07-04 23:00:00-07:00,57.0,Clear,3.42,9.7,57.0
2017-07-05 00:00:00-07:00,56.26,Clear,3.75,9.8,56.26
2017-07-05 01:00:00-07:00,55.63,Partly Cloudy,3.85,10.0,55.63
2017-07-05 02:00:00-07:00,55.3,Mostly Cloudy,3.69,10.0,55.3
2017-07-05 03:00:00-07:00,55.19,Mostly Cloudy,3.37,10.0,55.19
2017-07-05 04:00:00-07:00,55.11,Mostly Cloudy,3.12,10.0,55.11
2017-07-05 05:00:00-07:00,55.03,Mostly Cloudy,2.98,10.0,55.03
2017-07-05 06:00:00-07:00,54.92,Overcast,3.15,10.0,54.92
2017-07-05 07:00:00-07:00,55.22,Overcast,3.04,9.86,55.22
2017-07-05 08:00:00-07:00,56.17,Overcast,2.66,10.0,56.17
2017-07-05 09:00:00-07:00,57.78,Overcast,2.56,10.0,57.78
2017-07-05 10:00:00-07:00,60.37,Mostly Cloudy,2.58,10.0,60.37
2017-07-05 11:00:00-07:00,62.84,Partly Cloudy,2.97,10.0,62.84
2017-07-05 12:00:00-07:00,65.2,Partly Cloudy,3.52,10.0,65.2
2017-07-05 13:00:00-07:00,67.09,Partly Cloudy,4.26,10.0,67.09
2017-07-05 14:00:00-07:00,68.5,Partly Cloudy,4.82,10.0,68.5
2017-07-05 15:00:00-07:00,70.1,Clear,5.35,10.0,70.1
2017-07-05 16:00:00-07:00,71.01,Clear,3.99,10.0,71.01
2017-07-05 17:00:00-07:00,72.05,Clear,3.68,10.0,72.05
2017-07-05 18:00:00-07:00,70.84,Clear,4.27,10.0,70.84
